номер_документа,дата_документа,вид_операции,контрагент,инн_контрагента,кпп_контрагента,договор,номер_договора,регистрационный_номер_договора,дата_регистрации_договора,цфо_договор,статья_ддс,статья_начисления,внутренний_номер_в_до,источник_договора,валюта_документа,п_п,номенклатура,содержание_услуги,этап_проекта_документ,цфо_документ,ндс,ндс_2,сумма,сумма_включает_ндс,счет_доходов,номенклатурная_группа,счет_затрат,номенклатурная_группа_2,статьи_затрат
МКУХ-005430,24.03.2026 17:45:30,Товары,ПРОИНТЕХ ООО,7801578212,780101001,МК24-069 от 20.02.2025,МК24-069,MK24-12-57-LC,04.12.2024 11:51:34,Департамент процессинга,CF05020104 Сетевое оборудование свыше 40 т.р.,"Прочие расходы на IT оборудование, технику",00ДО-0000176669,ДО,руб.,2,Модуль SFP+-10G-SR,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,Департамент процессинга,22%,4434.41,24590.81,Да,\N,\N,\N,\N,\N
МКУХ-005430,24.03.2026 17:45:30,Товары,ПРОИНТЕХ ООО,7801578212,780101001,МК24-069 от 20.02.2025,МК24-069,MK24-12-57-LC,04.12.2024 11:51:34,Департамент процессинга,CF05020104 Сетевое оборудование свыше 40 т.р.,"Прочие расходы на IT оборудование, технику",00ДО-0000176669,ДО,руб.,3,Модуль SFP+-10G-DA-1,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,Департамент процессинга,22%,314.08,1741.72,Да,\N,\N,\N,\N,\N
МКУХ-005430,24.03.2026 17:45:30,Товары,ПРОИНТЕХ ООО,7801578212,780101001,МК24-069 от 20.02.2025,МК24-069,MK24-12-57-LC,04.12.2024 11:51:34,Департамент процессинга,CF05020104 Сетевое оборудование свыше 40 т.р.,"Прочие расходы на IT оборудование, технику",00ДО-0000176669,ДО,руб.,4,Модуль SFP+-10G-DA-2,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,Департамент процессинга,22%,2988.2,16570.92,Да,\N,\N,\N,\N,\N
МКУХ-005430,24.03.2026 17:45:30,Товары,ПРОИНТЕХ ООО,7801578212,780101001,МК24-069 от 20.02.2025,МК24-069,MK24-12-57-LC,04.12.2024 11:51:34,Департамент процессинга,CF05020104 Сетевое оборудование свыше 40 т.р.,"Прочие расходы на IT оборудование, технику",00ДО-0000176669,ДО,руб.,5,Модуль SFP28-25G-DA-2,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,Департамент процессинга,22%,3845.28,21323.84,Да,\N,\N,\N,\N,\N
МКУХ-005430,24.03.2026 17:45:30,Товары,ПРОИНТЕХ ООО,7801578212,780101001,МК24-069 от 20.02.2025,МК24-069,MK24-12-57-LC,04.12.2024 11:51:34,Департамент процессинга,CF05020104 Сетевое оборудование свыше 40 т.р.,"Прочие расходы на IT оборудование, технику",00ДО-0000176669,ДО,руб.,6,Модуль SFP28-25G-DA-3,\N,МУЛЬТИКАРТА_11_СЕРВЕРА,Департамент процессинга,22%,4436.19,24600.67,Да,\N,\N,\N,\N,\N
"Поступление (акт, накладная, УПД) МКУХ-005444 от 24.03.2026 23:59:59",Отражение фактических данных МКУХ-003032 от 24.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005444,24.03.2026 23:59:59,Услуги,САФИБ ООО,3661031853,366401001,55 от 09.02.2026,55,MK26-02-16-LC,11.02.2026 13:32:48,Департамент процессинга,"CF02040200 Платежи за лицензии, за программное обеспечение",Лицензионные расходы за программное обеспечение компании,00ДО-0000228307,ДО,руб.,1,Услуги от поставщиков / подрядчиков,Право использования дополнительных управляющих соединений программы для ЭВМ «Система удаленного мониторинга и управления «Ассистент» пакет из 1 (одного) соединения,МУЛЬТИКАРТА_11_ИМПОРТОЗАМЕЩЕНИЕ,Департамент процессинга,Без НДС,\N,36500,Да,\N,\N,20.01,ПР: авторизации,Лицензионные расходы за программное обеспечение компании (11020300)
"Поступление (акт, накладная, УПД) МКУХ-005579 от 24.03.2026 23:59:59",Отражение фактических данных МКУХ-003366 от 24.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005579,24.03.2026 23:59:59,Услуги,КОМПАНИЯ ТРАНСТЕЛЕКОМ АО,7709219099,775050001,Договор №MS006399 на предоставление услуг связи от 30.01.2014,MS006399,MK24-11-47-LC,18.11.2024 9:20:50,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000172839,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи - подключение,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,12100,67100,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005442 от 25.03.2026 16:47:01",Отражение фактических данных МКУХ-003030 от 25.03.2026 16:47:01,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005442,25.03.2026 16:47:01,Услуги,"ТЕХНО ООО (Курск, ИНН 4632054801)",4632054801,463201001,Договор ТИ-472 от 21.12.2011,ТИ-472 in,8092/МК,23.12.2011 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147577,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,Без НДС,\N,11080,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005451 от 25.03.2026 23:59:59",Отражение фактических данных МКУХ-003092 от 25.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005451,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,2,Услуги от поставщика,"Проживание в гостинице Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, , тип размещения: Одноместный , категория номера: Делюкс Кинг / Deluxe King, с 22.03.2026 по 25.03.2026, КРЮКОВА СВЕТЛАНА ВАСИЛЬЕВНА",Мультикарта_Департамент реализации проектов и поддержки клиентов_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,24900,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005451,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,1,Услуги от поставщика,"Проживание в гостинице Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, , тип размещения: Одноместный , категория номера: Номер представительского класса/Executive Room, с 22.03.2026 по 25.03.2026, ТЕРЯЕВ ВЛАДИМИР ВЛАДИМИРОВИЧ",Мультикарта_Руководство БЕ_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,36300,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005451,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,5,Услуги от поставщика,"Проживание в гостинице Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, , тип размещения: Одноместный , категория номера: Номер представительского класса/Executive Room, с 23.03.2026 по 25.03.2026, ДЕНИСЁНОК ПАВЕЛ ВЛАДИМИРОВИЧ",Мультикарта_Департамент контроля качества_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,24200,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005451,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,4,Услуги от поставщика,"Проживание в гостинице Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, , тип размещения: Одноместный , категория номера: Стандартный/Superior Room KING, с 23.03.2026 по 25.03.2026, СТАНЧЕНКО НИКОЛАЙ АЛЕКСАНДРОВИЧ",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,13600,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005451,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,3,Услуги от поставщика,"Проживание в гостинице Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, , тип размещения: Одноместный , категория номера: Делюкс Кинг / Deluxe King, с 23.03.2026 по 25.03.2026, ГЕРМАН ГЕОРГИЙ АЛЕКСЕЕВИЧ",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,16600,Да,\N,\N,26,Командировочные расходы (22030400),\N
"Поступление (акт, накладная, УПД) МКУХ-005452 от 25.03.2026 23:59:59",Отражение фактических данных МКУХ-003093 от 25.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005452,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,1,Услуги от поставщика,"Сервисный сбор за услуги по бронированию, Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, с 22.03.2026 по 25.03.2026, категория номера: Номер представительского класса/Executive Room, ТЕРЯЕВ ВЛАДИМИР ВЛАДИМИРОВИЧ",Мультикарта_Руководство БЕ_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,8.11,45,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005452,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,2,Услуги от поставщика,"Сервисный сбор за услуги по бронированию, Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, с 22.03.2026 по 25.03.2026, категория номера: Делюкс Кинг / Deluxe King, КРЮКОВА СВЕТЛАНА ВАСИЛЬЕВНА",Мультикарта_Департамент реализации проектов и поддержки клиентов_Бюджет МВЗ,Административный департамент ЦСП,22%,8.11,45,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005452,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,3,Услуги от поставщика,"Сервисный сбор за услуги по бронированию, Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, с 23.03.2026 по 25.03.2026, категория номера: Делюкс Кинг / Deluxe King, ГЕРМАН ГЕОРГИЙ АЛЕКСЕЕВИЧ",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,22%,8.11,45,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005452,25.03.2026 23:59:59,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,4,Услуги от поставщика,"Сервисный сбор за услуги по бронированию, Коринтия Санкт-Петербург, РОССИЯ, Санкт-Петербург, с 23.03.2026 по 25.03.2026, категория номера: Номер представительского класса/Executive Room, ДЕНИСЁНОК ПАВЕЛ ВЛАДИМИРОВИЧ",Мультикарта_Департамент контроля качества_Бюджет МВЗ,Административный департамент ЦСП,22%,8.11,45,Да,\N,\N,26,Командировочные расходы (22030400),\N
"Поступление (акт, накладная, УПД) МКУХ-005456 от 25.03.2026 23:59:59",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005456,25.03.2026 23:59:59,Товары,ГКМ ООО,7734448141,773401001,Счет-договор № 783 от 10.03.2026,Счет-договор № 783,MK26-03-10-LLС,13.03.2026 17:17:43,Административный департамент ЦСП,CF02050301 Приобретение канцелярских товаров не дороже 40 т.р. без НДС,Приобретение канцелярских товаров,00ДО-0000232320,ДО,руб.,1,Резиновое клише на автоматической оснастке,\N,Мультикарта_Операционный блок_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,225.41,1250,Да,\N,\N,\N,\N,\N
"Поступление (акт, накладная, УПД) МКУХ-005564 от 25.03.2026 23:59:59",Отражение фактических данных МКУХ-003351 от 25.03.2026 23:59:59,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005564,25.03.2026 23:59:59,Услуги,ИНТЕРСВЯЗЬ-2 АО,7448068879,744801001,Договор №1100-2012/V от 01.07.2012г.,1100-2012/v,9118/МК,12.10.2012 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148226,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,1803.28,10000,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-004968 от 26.03.2026 12:00:00",Отражение фактических данных МКУХ-001860 от 26.03.2026 12:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004968,26.03.2026 12:00:00,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,4,Услуги от поставщика,"Эл. ж/д билет № 72113663769620, Спб-Мск на 25.03.2026г. ТЕРЯЕВ В В",Мультикарта_Руководство БЕ_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,4552.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-004968,26.03.2026 12:00:00,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,3,Услуги от поставщика,"Эл. ж/д билет № 72113663769620, Спб-Мск на 25.03.2026г. ТЕРЯЕВ В В",Мультикарта_Руководство БЕ_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-004968,26.03.2026 12:00:00,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,2,Услуги от поставщика,Эл. ж/д билет №72013663764322  Мск-Спб на 22.03.2026г. ТЕРЯЕВ В В,Мультикарта_Руководство БЕ_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,4680.2,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-004968,26.03.2026 12:00:00,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,7,Услуги от поставщика,Эл. ж/д билет № 72013663837951 Мск -Спб на 22.03.2026г. КРЮКОВА С В,Мультикарта_Департамент реализации проектов и поддержки клиентов_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-004968,26.03.2026 12:00:00,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,1,Услуги от поставщика,Эл. ж/д билет №72013663764322  Мск-Спб на 22.03.2026г. ТЕРЯЕВ В В,Мультикарта_Руководство БЕ_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-004968,26.03.2026 12:00:00,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,6,Услуги от поставщика,Эл. ж/д билет № 72113663840541 Спб-Мск на 25.03.2026г. КРЮКОВА С В,Мультикарта_Департамент реализации проектов и поддержки клиентов_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,4552.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-004968,26.03.2026 12:00:00,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,5,Услуги от поставщика,Эл. ж/д билет № 72113663840541 Спб-Мск на 25.03.2026г. КРЮКОВА С В,Мультикарта_Департамент реализации проектов и поддержки клиентов_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-004968,26.03.2026 12:00:00,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,8,Услуги от поставщика,Эл. ж/д билет № 72013663837951 Мск -Спб на 22.03.2026г. КРЮКОВА С В,Мультикарта_Департамент реализации проектов и поддержки клиентов_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,4680.2,Да,\N,\N,26,Командировочные расходы (22030400),\N
"Поступление (акт, накладная, УПД) МКУХ-005220 от 26.03.2026 12:00:01",Отражение фактических данных МКУХ-002335 от 26.03.2026 12:00:01,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005220,26.03.2026 12:00:01,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,3,Услуги от поставщика,"Ж/д билет № 72063676021646, Мск-Спб ГЕРМАН Г А 23.03.2026г.",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005220,26.03.2026 12:00:01,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,4,Услуги от поставщика,"Ж/д билет № 72063676021646, Мск-Спб ГЕРМАН Г А 23.03.2026г.",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,5298.4,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005220,26.03.2026 12:00:01,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,1,Услуги от поставщика,"Ж/д билет № 72113676035241, Спб-Мск ГЕРМАН Г А 25.03.2026г.",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005220,26.03.2026 12:00:01,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,2,Услуги от поставщика,"Ж/д билет № 72113676035241, Спб-Мск ГЕРМАН Г А 25.03.2026г.",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,4253.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
"Поступление (акт, накладная, УПД) МКУХ-005269 от 26.03.2026 12:00:02",Отражение фактических данных МКУХ-002428 от 26.03.2026 12:00:02,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005269,26.03.2026 12:00:02,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,1,Услуги от поставщика,"Ж/д билет № 72063684008215, Мск-Спб СТАНЧЕНКО Н А 23.03.2026г.",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005269,26.03.2026 12:00:02,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,2,Услуги от поставщика,"Ж/д билет № 72063684008215, Мск-Спб СТАНЧЕНКО Н А 23.03.2026г.",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,4853.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005269,26.03.2026 12:00:02,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,3,Услуги от поставщика,"Ж/д билет № 72113684010735, Спб-Мск СТАНЧЕНКО Н А 25.03.2026г.",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005269,26.03.2026 12:00:02,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,4,Услуги от поставщика,"Ж/д билет № 72113684010735, Спб-Мск СТАНЧЕНКО Н А 25.03.2026г.",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,4529.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
"Поступление (акт, накладная, УПД) МКУХ-005411 от 26.03.2026 12:00:05",Отражение фактических данных МКУХ-002888 от 26.03.2026 12:00:05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,2,Услуги от поставщика,"Электронный ЖД билет № 71913694521025, по маршруту Москва-Окт-Санкт-Петербург-Гл, Сидячий (Эконом), пассажир АЛАЕВ ДЕНИС ВАЛЕРЬЕВИЧ, дата отправления 17.03.2026 (Сервисные услуги облагаемые НДС 22%)",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,0%,\N,3419.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,3,Услуги от поставщика,"Электронный ЖД билет № 71963694560601, по маршруту Санкт-Петербург-Гл-Москва-Окт, СВ, пассажир АЛАЕВ ДЕНИС ВАЛЕРЬЕВИЧ, дата отправления 20.03.2026 (Сервисные услуги облагаемые НДС 22%)",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,22%,1108.3,6146,Да,\N,\N,26,Командировочные расходы (22030400),\N
МКУХ-005411,26.03.2026 12:00:05,Услуги,ГЦБИТ АО,7707113869,500301001,Договор №МК23-072 от 28.08.2023,МК23-072,000815/ФУ,22.08.2023 0:00:00,Руководство БЕ_Мультикарта,CF02060000 Командировочные платежи,Командировочные расходы,00ДО-0000149802,ДО,руб.,1,Услуги от поставщика,"Электронный ЖД билет № 71913694521025, по маршруту Москва-Окт-Санкт-Петербург-Гл, Сидячий (Эконом), пассажир АЛАЕВ ДЕНИС ВАЛЕРЬЕВИЧ, дата отправления 17.03.2026 (Сервисные услуги облагаемые НДС 22%)",Мультикарта_Департамент развития технологий_Бюджет МВЗ,Административный департамент ЦСП,22%,21.57,119.6,Да,\N,\N,26,Командировочные расходы (22030400),\N
